timestamp,request_id,endpoint,status_code,latency_ms,phase,ground_truth_drift,drift_evaluated,warning_alert,critical_alert,adaptive_alert,fixed_alert,score,threshold,error
1772863373.575104,d7f5741e1c87e3b2009b1c5a,/predict,200,6.2472,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.575319,a9d9cc9cdc46ddf10c621ddb,/predict,200,7.7451,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.575766,95b967411a19097b64a2eb81,/score,200,7.7830,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.575995,ed23c32ab62ea96d580c996b,/predict,200,7.8016,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.576645,781bd789b87dd14a0edc0142,/detect_drift,200,6.5473,sudden_drift,1,0,0,0,0,0,0.996097,0.880000,
1772863373.577867,d438cfe800df2df53d0b8264,/predict,200,2.7475,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.582827,85ec4c45500f5fa4755d4455,/predict,200,6.1696,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.582969,5baf02ab69f92ef31b585b6c,/predict,200,7.6340,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.583361,1906f20825597fcaaff4e439,/detect_drift,200,7.5808,sudden_drift,1,0,0,0,0,0,0.975859,0.880000,
1772863373.583562,2521aba7d08608f729f9ea27,/detect_drift,200,7.5540,sudden_drift,1,0,0,0,0,0,0.996428,0.880000,
1772863373.584233,e39b11919ef9d394935c8e57,/predict,200,6.3531,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.585421,7f2b9ae486a17d6f8593d341,/score,200,2.5815,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.590132,806d6eab81246fe6d0cfa43d,/score,200,5.8878,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.590308,25b7a803db95b2c263bfff0b,/detect_drift,200,7.3256,sudden_drift,1,0,0,0,0,0,0.996699,0.880000,
1772863373.590721,cde6c9cc51819fc261d36134,/score,200,7.3492,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.590977,532679bc1be7b125489a58e9,/predict,200,7.4036,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.591790,46b1edb71e9b69fca07810d2,/predict,200,6.3578,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.593060,04eb5a3fc1c968597749d53c,/predict,200,2.9156,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.598054,a4ff01c80d08630d7c10be20,/detect_drift,200,6.2498,sudden_drift,1,0,0,0,0,0,0.988730,0.880000,
1772863373.598240,c0d977c6ffb3f7b0431900e1,/score,200,7.9205,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.598694,d42f6164a88b4757ebc56405,/predict,200,7.9580,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.598940,ab3f7f11c1e460a0165c0117,/score,200,7.8810,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.599614,1eb3a02f1a52eb9b9a86722d,/score,200,6.5412,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.600862,31b19ff7fc060fe189c0b565,/detect_drift,200,2.7945,sudden_drift,1,0,0,0,0,0,0.994736,0.880000,
1772863373.605905,beb94129037f37df5f1cea91,/predict,200,6.2777,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.606078,88143bbc2fc443a923049a56,/score,200,7.8235,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.606276,c0f57f457bf0e3921408aa14,/detect_drift,200,7.5683,sudden_drift,1,0,0,0,0,0,0.993918,0.880000,
1772863373.606623,69c53f423d2030cdb207eff6,/detect_drift,200,7.6712,sudden_drift,1,0,0,0,0,0,0.995221,0.880000,
1772863373.607272,1fa27a3c433c6e5af7fcb950,/predict,200,6.3963,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.608433,3ce8c230525008c0b7170f05,/score,200,2.5150,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.613474,a5275129a0385bca6ee7989d,/score,200,6.8394,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.613651,c06c9ac57bd36a5ff470f290,/detect_drift,200,7.5610,sudden_drift,1,0,0,0,0,0,0.402477,0.880000,
1772863373.613845,40148a3e8ae63a95f9896452,/predict,200,7.5565,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.614082,68094b527df474416b15277a,/detect_drift,200,6.7982,sudden_drift,1,0,0,0,0,0,0.987982,0.880000,
1772863373.614698,87950e1ced424f494139bf7c,/score,200,6.2520,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.616288,56dd54ec0cc152cdb759b81f,/score,200,2.8019,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.620936,bac91d7bcebd9c292215ea06,/predict,200,6.2242,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.621096,15172b2698f1ba1227b30a64,/predict,200,7.4344,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.621467,610fbabdc418b32e0b476469,/score,200,7.6095,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.621698,78c0f1a7b5f1b3a1f814a50f,/predict,200,7.6049,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.622393,1bda9492f9e7b78354e0fdd2,/score,200,6.0918,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.623670,f2d5a3e187480fe385df6788,/detect_drift,200,2.7227,sudden_drift,1,0,0,0,0,0,0.994649,0.880000,
1772863373.628673,021eb88d1c0e82767ce338ac,/score,200,6.2659,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.628831,4b45dd980e2c4727ed6bc312,/score,200,7.7238,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.629029,5aaaec541bd11ff9ca33351b,/predict,200,7.5517,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.629251,e5bb9dd68461980f78fb5649,/score,200,7.5404,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.630037,1bb60121ddb60f9f5642f4a1,/detect_drift,200,6.3538,sudden_drift,1,0,0,0,0,0,0.995730,0.880000,
1772863373.631156,6776fb9ef6509a92758299b4,/score,200,2.4702,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.636161,f06d59a116de1a3c38aefb02,/predict,200,6.0972,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.636371,1faae2f8b0c1314d9f3fbe37,/score,200,7.5266,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.636778,b174100b0915e8e2471fd208,/predict,200,7.7369,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.637026,ad768ba4bf58ea844d6ec80c,/predict,200,7.7639,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.637705,15ee6015427c533776235ad9,/predict,200,6.5349,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.638907,53c050101de1e946393f6171,/score,200,2.7244,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.643954,3dbf9b180f89395bd1dad8df,/detect_drift,200,6.2369,sudden_drift,1,0,0,0,0,0,0.994339,0.880000,
1772863373.644136,395697040cd8d040f137d745,/score,200,7.7522,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.644346,53b385cb39501fca0f905523,/score,200,7.5555,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.644582,daad86b8661178f4be9ee939,/detect_drift,200,7.5430,sudden_drift,1,0,0,0,0,0,0.991964,0.880000,
1772863373.645138,ad5583d586079acc395cc1eb,/predict,200,6.2182,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.646650,1fb5cc3e20c49629019e861b,/detect_drift,200,2.6832,sudden_drift,1,0,0,0,0,0,0.989185,0.880000,
1772863373.651886,c24a77f6a4d2e3b70f6a67c5,/predict,200,6.7361,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.652068,8d6a4b767dcfecfd68828272,/score,200,7.9198,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.652266,1f74477706452b412283ef65,/score,200,7.9080,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.652521,7f700157a49b1592a5e0dcfe,/predict,200,7.9275,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.653069,13be7bdf9fdd2f109861c86c,/score,200,6.4067,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
1772863373.654576,56f2bedc71ec1109c9fbe650,/score,200,2.6776,sudden_drift,1,0,0,0,0,0,10.744781,1.000000,
